title,url,time,channelName,channelUrl,videoId
Türkiye’den gelen kuzenim Almanya’nın hiçbir şeyini beğenmiyor😁,https://www.youtube.com/watch?v=r0tAzwV5VvY,2024-12-03T19:03:06.603Z,Hikaye Şöyle Başlıyor,https://www.youtube.com/channel/UCgSJ2u-Q-FsFHTuE8huZGLg,r0tAzwV5VvY
♻️Manchester City'nin 2012'deki şampiyonluk maçına çıkan 11'ini güncelle!,https://www.youtube.com/watch?v=lGJRl_lYrRY,2024-12-03T19:02:02.126Z,SPORTS QR,https://www.youtube.com/channel/UCNGxiWmb04wSzgvqY3UzWpg,lGJRl_lYrRY
Samimi Pilot  Türbilansa Rajon Kesiyor Sonuna Kadar İzle (instagram @fatihjj400),https://www.youtube.com/watch?v=Ex4Qa94zvOk,2024-12-03T19:00:58.032Z,EN İYİSİ YEMEK,https://www.youtube.com/channel/UCmXbzqNKEoqMDDrDHmGuOfA,Ex4Qa94zvOk
"""You are not GOD🥹"" || Gorr edit || memory reboot || slowed #edit #thoredit #movie #thoredite #film",https://www.youtube.com/watch?v=Ah1PZ8PtgKk,2024-12-03T19:00:55.435Z,ZENOX ,https://www.youtube.com/channel/UCQaSsMcH_USqpFltLmqxgKg,Ah1PZ8PtgKk
Sergen Yalçın Beşiktaş'taki imza törenini anlatıyor,https://www.youtube.com/watch?v=sH9OYe-fbSk,2024-12-03T19:00:13.593Z,Maç Ötesi Futbol,https://www.youtube.com/channel/UCQDo5_Q7lBXGegP9_HIxjYg,sH9OYe-fbSk
Konsol Oyun - PlayStation 4 için Oyun Tavsiyesi ve Deluxe Üyelik Avantajları #konsoloyun #shorts,https://www.youtube.com/watch?v=yP1NXR4EEmY,2024-12-03T18:59:35.979Z,AYBVRS,https://www.youtube.com/channel/UCiQxifu3jMAFRSX-Wb8nDkg,yP1NXR4EEmY
Volkan Demirel Gianluigi Buffon'u anlatıyor,https://www.youtube.com/watch?v=fJG12k6N95Q,2024-12-03T18:59:01.025Z,GolNet Medya,https://www.youtube.com/channel/UCmGCOYaIITu_DcYgLIyprvg,fJG12k6N95Q
Yurda Gizlice Birşey Sokma Aykut Elmas Vine🤣😂 #shortsvideo #aykutelmasvine,https://www.youtube.com/watch?v=g_A7uMOaCig,2024-12-03T18:59:00.089Z,The Emre,https://www.youtube.com/channel/UCS4TA5dKb6fC27eMmIIxYjQ,g_A7uMOaCig
Konsol Oyun - Müşteri Varken Sahte Yemek Siparişi Geliyor! #konsoloyun #shorts,https://www.youtube.com/watch?v=3_WHH8qBY7c,2024-12-03T18:58:56.821Z,GLC Kesit,https://www.youtube.com/channel/UCCojreB0SJeXB7jn5Z1gxFQ,3_WHH8qBY7c
Engin Günaydın'ın Ev Arkadaşları Kimlerdi? #ıspanak #shorts,https://www.youtube.com/watch?v=q_SQ99ZZcGU,2024-12-03T18:58:09.045Z,Ispanak,https://www.youtube.com/channel/UC5h0EywPGW-S4vbVPTdDtrg,q_SQ99ZZcGU
